train.size,percent.correct.labels,auc,percent.correct.intervals
2,7.29166666666667,0.961476725521669,7.29166666666667
4,82.2916666666667,0.961476725521669,82.2916666666667
6,80.2083333333333,0.961476725521669,80.2083333333333
8,80.2083333333333,0.961476725521669,80.2083333333333
10,80.2083333333333,0.961476725521669,80.2083333333333
12,80.2083333333333,0.961476725521669,80.2083333333333
14,80.2083333333333,0.961476725521669,80.2083333333333
16,80.2083333333333,0.961476725521669,80.2083333333333
18,80.2083333333333,0.961476725521669,80.2083333333333
20,80.2083333333333,0.961476725521669,80.2083333333333
25,80.2083333333333,0.961476725521669,80.2083333333333
30,80.2083333333333,0.961476725521669,80.2083333333333
35,80.2083333333333,0.961476725521669,80.2083333333333
40,80.2083333333333,0.961476725521669,80.2083333333333
45,81.25,0.961476725521669,81.25
50,81.25,0.961476725521669,81.25
55,75,0.961476725521669,75
60,75,0.961476725521669,75
65,75,0.961476725521669,75
70,75,0.961476725521669,75
75,75,0.961476725521669,75
80,75,0.961476725521669,75
85,75,0.961476725521669,75
90,73.9583333333333,0.961476725521669,73.9583333333334
95,73.9583333333333,0.961476725521669,73.9583333333334
100,73.9583333333333,0.961476725521669,73.9583333333334
200,63.5416666666667,0.961476725521669,63.5416666666667
300,57.2916666666667,0.961476725521669,57.2916666666667
400,63.5416666666667,0.961476725521669,63.5416666666667
500,60.4166666666667,0.961476725521669,60.4166666666667
600,61.4583333333333,0.961476725521669,61.4583333333333
700,59.375,0.961476725521669,59.375
800,55.2083333333333,0.961476725521669,55.2083333333333
900,54.1666666666667,0.961476725521669,54.1666666666667
1000,54.1666666666667,0.961476725521669,54.1666666666667
3322,42.7083333333333,0.961476725521669,42.7083333333333
