train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,95.6901748040989,0.988866919742254,95.6901748040989
6,96.8053044002411,0.988249163806374,96.8053044002411
8,95.6600361663653,0.987379455067856,95.6600361663653
10,96.5641952983725,0.985203499045072,96.5641952983725
12,96.4436407474382,0.984621447650742,96.4436407474382
14,96.6546112115732,0.986595976165534,96.6546112115732
16,94.7257383966245,0.98961671511481,94.7257383966245
18,94.7257383966245,0.989629514856121,94.7257383966245
20,94.755877034358,0.989624125491359,94.755877034358
25,94.7257383966245,0.989611999420643,94.7257383966245
30,94.755877034358,0.989627493844335,94.755877034358
35,94.7257383966245,0.989627493844335,94.7257383966245
40,94.755877034358,0.989610652079453,94.755877034358
45,94.755877034358,0.989611999420643,94.755877034358
50,94.7257383966245,0.989627493844335,94.7257383966245
55,94.6955997588909,0.989647030291598,94.6955997588909
60,94.6955997588909,0.989645682950408,94.6955997588909
65,94.755877034358,0.989632883209097,94.755877034358
70,94.755877034358,0.989645009279812,94.755877034358
75,94.755877034358,0.989645682950408,94.755877034358
80,94.7257383966245,0.989642314597431,94.7257383966245
85,94.6955997588909,0.989661177374099,94.6955997588909
90,94.6955997588909,0.989650398644575,94.6955997588909
95,94.6955997588909,0.989649051303384,94.6955997588909
100,95.5696202531646,0.989128977603821,95.5696202531646
