train.size,percent.correct.labels,auc,percent.correct.intervals
2,55.8368076235855,0.98598893987528,55.8368076235855
4,80.0774270399047,0.954929823676735,80.0774270399047
6,79.8689696247767,0.985529726186274,79.8689696247767
8,78.5884455032758,0.987368597986318,78.5884455032758
10,85.8844550327576,0.990199855445178,85.8844550327576
12,85.8844550327576,0.990193804313112,85.8844550327576
14,84.0678975580703,0.990538046492865,84.0678975580703
16,84.0678975580703,0.990541408232901,84.0678975580703
18,84.0678975580703,0.990540735884894,84.0678975580703
20,84.0678975580703,0.990537374144857,84.0678975580703
25,84.0678975580703,0.990550148756997,84.0678975580703
30,84.0083382966051,0.990558889281092,84.0083382966051
35,83.7998808814771,0.992239759299413,83.7998808814771
40,83.7403216200119,0.992237069907384,83.7403216200119
45,83.7403216200119,0.992244465735465,83.7403216200119
50,83.4127456819535,0.992189333198864,83.4127456819536
55,83.4127456819535,0.992187988502849,83.4127456819536
60,83.4425253126861,0.992204797203032,83.4425253126861
