train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,94.2105263157895,0.981612446958982,94.2105263157895
6,92.8070175438596,0.974899195676497,92.8070175438596
8,93.859649122807,0.98315353923452,93.859649122807
10,93.859649122807,0.983047984969073,93.859649122807
12,92.6315789473684,0.954928328653761,92.6315789473684
14,96.6666666666667,0.981549114399713,96.6666666666667
16,96.6666666666667,0.981633557812071,96.6666666666667
18,96.6666666666667,0.981549114399713,96.6666666666667
20,96.6666666666667,0.981633557812071,96.6666666666667
25,96.3157894736842,0.976292511980409,96.3157894736842
30,97.5438596491228,0.989402351749034,97.5438596491228
35,97.5438596491228,0.989444573455213,97.5438596491228
40,97.719298245614,0.989529016867572,97.719298245614
45,97.5438596491228,0.989465684308303,97.5438596491228
50,97.719298245614,0.990183453313348,97.719298245614
55,97.719298245614,0.990373450991155,97.719298245614
60,97.719298245614,0.990373450991155,97.719298245614
65,97.719298245614,0.990394561844244,97.719298245614
70,98.2456140350877,0.99406785028183,98.2456140350877
75,97.5438596491228,0.993328970423695,97.5438596491228
80,97.719298245614,0.993455635542232,97.719298245614
85,97.5438596491228,0.993772298338576,97.5438596491228
90,97.5438596491228,0.993730076632397,97.5438596491228
95,97.8947368421053,0.994194515400367,97.8947368421053
100,97.8947368421053,0.994194515400367,97.8947368421053
200,98.0701754385965,0.994701175874517,98.0701754385965
300,98.421052631579,0.995081171230129,98.421052631579
400,98.2456140350877,0.995144503789398,98.2456140350877
500,98.421052631579,0.995123392936309,98.421052631579
600,98.2456140350877,0.995102282083219,98.2456140350877
700,98.2456140350877,0.99506006037704,98.2456140350877
800,98.2456140350877,0.99503894952395,98.2456140350877
900,98.2456140350877,0.994975616964681,98.2456140350877
1000,98.2456140350877,0.994954506111592,98.2456140350877
2848,98.2456140350877,0.995144503789398,98.2456140350877
