train.size,percent.correct.labels,auc,percent.correct.intervals
2,92.7667269439421,0.977430397689283,92.7667269439421
4,92.7667269439421,0.977430397689283,92.7667269439421
6,97.377938517179,0.991156962905512,97.377938517179
8,97.3477998794455,0.991063357492445,97.3477998794455
10,95.961422543701,0.988069990104571,95.961422543701
12,96.745027124774,0.987339867882646,96.745027124774
14,96.8053044002411,0.9865315182798,96.8053044002411
16,92.49547920434,0.991194405070739,92.4653405666064
18,92.49547920434,0.991193067850552,92.4653405666064
20,92.4653405666064,0.991194405070739,92.4352019288728
25,92.5557564798071,0.991195742290926,92.5256178420736
30,90.4761904761905,0.990853413923137,90.4761904761905
35,93.2489451476793,0.991249231098393,93.2188065099458
40,93.2489451476793,0.991247893878206,93.2188065099458
45,93.4599156118144,0.991206440052419,93.4297769740808
50,93.4599156118144,0.991209783102886,93.4297769740808
55,93.4297769740808,0.991205771442326,93.3996383363472
60,93.4297769740808,0.991204434222139,93.3996383363472
65,93.3996383363472,0.991209114492792,93.3694996986136
70,93.4297769740808,0.991206440052419,93.3996383363472
75,93.4297769740808,0.991208445882699,93.3996383363472
80,93.7311633514165,0.991147602364205,93.7010247136829
85,93.7311633514165,0.991146265144019,93.7010247136829
90,93.6106088004822,0.991148270974299,93.5804701627487
95,93.7311633514165,0.991147602364205,93.7010247136829
100,93.6708860759494,0.991164986226632,93.6407474382158
