train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,80.4400241109102,0.993291093060935,80.4400241109102
6,95.5696202531646,0.988268801570866,95.5696202531646
8,81.1332127787824,0.995613458587723,81.1030741410488
10,92.3447860156721,0.99033901305836,92.2845087402049
12,89.2706449668475,0.987795342124747,89.2706449668475
14,93.3694996986136,0.994755732480659,93.3694996986136
16,67.6009644364075,0.99193643572218,67.5708257986739
18,90.5364677516576,0.992613093769113,90.5364677516576
20,92.6763110307414,0.991766768243613,92.6461723930078
25,91.5611814345992,0.98724610234235,91.5310427968656
30,91.8625678119349,0.979991979355559,91.8324291742013
35,95.8107293550331,0.994117299913087,95.8107293550331
40,97.5587703435805,0.993735045119478,97.5587703435805
45,94.2133815551537,0.989711310449907,94.2133815551537
50,91.6214587100663,0.98743387662693,91.6214587100663
55,96.0518384569018,0.991627278775068,96.0518384569018
60,93.6407474382158,0.988871020526412,93.6407474382158
65,85.623869801085,0.981824119875103,85.623869801085
70,94.9668474984931,0.983594563129714,94.9668474984931
75,94.8764315852924,0.982657703574149,94.8764315852923
80,96.4436407474382,0.992189260383918,96.4436407474382
85,95.8710066305003,0.986642542141914,95.8710066305003
90,97.4683544303798,0.993515080957542,97.4683544303798
95,89.7830018083183,0.9805881627091,89.7830018083183
100,79.0235081374322,0.966267691020097,79.0235081374322
