train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,96.1723930078361,0.976019882614247,96.1723930078361
6,95.9312839059674,0.986176459542689,95.9312839059674
8,94.9969861362266,0.991071332768222,94.9668474984931
10,87.6130198915009,0.987641769584858,87.6130198915009
12,96.5641952983725,0.989669731858322,96.5641952983725
14,95.5696202531646,0.986230779960728,95.5696202531646
16,97.2875226039783,0.993910748200049,97.2875226039783
18,97.377938517179,0.99385642778201,97.377938517179
20,97.2875226039783,0.993877217077803,97.2573839662447
25,97.5587703435805,0.993796071761967,97.5587703435805
30,97.166968053044,0.992368987199159,97.166968053044
35,96.9258589511754,0.991507237357426,96.9258589511754
40,96.2929475587704,0.989394776655901,96.2929475587704
45,96.2628089210368,0.988521626232604,96.2628089210368
50,96.2628089210368,0.988751649731214,96.2628089210368
55,96.745027124774,0.983630776741741,96.745027124774
60,96.4135021097047,0.980900672768437,96.4135021097047
65,96.4135021097047,0.981217206562443,96.4135021097047
70,96.4436407474382,0.982078956404176,96.4436407474382
75,96.9861362266426,0.986983218343938,96.9861362266426
80,97.0162748643761,0.989575844716032,97.0162748643761
85,96.8957203134418,0.989549690440679,96.8957203134418
90,96.6847498493068,0.990598543944548,96.6847498493068
95,96.7148884870404,0.990783635739348,96.7148884870404
100,96.3833634719711,0.990404063435518,96.3833634719711
