train.size,percent.correct.labels,auc,percent.correct.intervals
2,,,
4,91.7212626563431,0.943950604645696,91.7212626563431
6,96.4264443120905,0.98861988363959,96.4264443120905
8,96.2179868969625,0.988847372222506,96.2179868969625
10,97.0518165574747,0.990508038877799,97.0518165574747
12,95.1161405598571,0.98162524162763,95.1161405598571
14,97.1113758189399,0.991127313353516,97.1113758189399
16,97.3496128648005,0.992520680923882,97.3496128648005
18,97.528290649196,0.992174392747664,97.528290649196
20,97.5878499106611,0.992257805228067,97.5878499106611
25,97.5878499106611,0.992288768951853,97.5878499106611
30,97.7069684335914,0.992608516793397,97.7069684335914
35,96.7540202501489,0.989242317678959,96.7540202501489
40,97.6474091721263,0.992572497767768,97.6474091721263
45,97.6176295413937,0.992624314611655,97.6176295413937
50,97.5580702799285,0.992539006393061,97.5580702799285
55,97.6176295413937,0.992645167731756,97.6176295413937
60,93.8951756998213,0.970776563873423,93.8653960690887
