train.size,percent.correct.labels,auc,percent.correct.intervals
2,45.5330553901132,0.946482077549036,45.5330553901132
4,53.2162001191185,0.958098227931761,53.2162001191185
6,56.2537224538416,0.871098796696715,56.2537224538416
8,56.2835020845742,0.871405739124356,56.2835020845742
10,56.2537224538416,0.87014619483536,56.2537224538416
12,56.2537224538416,0.869982238010657,56.2537224538416
14,87.1947587849911,0.97900335857294,87.1947587849911
16,87.1649791542585,0.978906763854511,87.1649791542585
18,83.4127456819535,0.935352713707871,83.4127456819536
20,96.9326980345444,0.989724101335485,96.9326980345444
25,96.4860035735557,0.992153585602303,96.4860035735557
30,96.4860035735557,0.992151679127597,96.4860035735557
35,96.4562239428231,0.992126894956421,96.4562239428231
40,96.7242406194163,0.99235249446328,96.7242406194163
45,96.7242406194163,0.992351223480143,96.7242406194163
50,96.7242406194163,0.992353765446417,96.7242406194163
55,96.7242406194163,0.992353765446417,96.7242406194163
60,96.7242406194163,0.992349952497005,96.7242406194163
